INSERTION,DELETION,SUM,SUBTRACT
87,1,88,86
1,1,2,0
1,1,2,0
1,0,1,1
3,3,6,0
1,0,1,1
38,3,41,35
0,2,2,-2
5,2,7,3
5,2,7,3
0,1,1,-1
5,8,13,-3
74,42,116,32
7,0,7,7
169,2,171,167
9,4,13,5
1,1,2,0
44,1,45,43
10,0,10,10
1,1,2,0
0,2,2,-2
1,1,2,0
1,1,2,0
1,1,2,0
1,2,3,-1
0,4,4,-4
0,6,6,-6
11,0,11,11
3,0,3,3
1,1,2,0
3,4,7,-1
1,1,2,0
1,0,1,1
2,2,4,0
2,2,4,0
2,2,4,0
16,3,19,13
53,6,59,47
1,0,1,1
2,2,4,0
2,2,4,0
2,2,4,0
1,2,3,-1
0,2,2,-2
4,0,4,4
1,0,1,1
2,2,4,0
3,3,6,0
3,0,3,3
20,19,39,1
7,6,13,1
54,31,85,23
13,0,13,13
1,1,2,0
2,0,2,2
1,0,1,1
2,2,4,0
28,5,33,23
3,2,5,1
3,2,5,1
1,1,2,0
27,18,45,9
1,12,13,-11
1,1,2,0
22,13,35,9
4,0,4,4
4,13,17,-9
1,3,4,-2
1,3,4,-2
0,0,0,0
1,1,2,0
1,3,4,-2
0,1,1,-1
1,1,2,0
4,0,4,4
7,0,7,7
2,2,4,0
7,0,7,7
19,0,19,19
3,1,4,2
19,0,19,19
14,5,19,9
10,1,11,9
1,1,2,0
1,1,2,0
2,0,2,2
2,0,2,2
2,1,3,1
2,2,4,0
2,2,4,0
2,2,4,0
1,1,2,0
4,0,4,4
4,0,4,4
12,12,24,0
1,1,2,0
3,3,6,0
7,7,14,0
8,7,15,1
0,46,46,-46
0,59,59,-59
6,0,6,6
7,7,14,0
9,11,20,-2
35,4,39,31
1,0,1,1
4,4,8,0
8,7,15,1
4,27,31,-23
0,63,63,-63
4,3,7,1
82,0,82,82
3,3,6,0
2,2,4,0
6,0,6,6
31,8,39,23
5,1,6,4
12,11,23,1
169,5,174,164
11,1,12,10
22,0,22,22
29,6,35,23
10,2,12,8
44,11,55,33
21,0,21,21
22,12,34,10
35,0,35,35
3,0,3,3
1,1,2,0
2,2,4,0
3,0,3,3
1,1,2,0
2,2,4,0
3,2,5,1
1,5,6,-4
1,1,2,0
1,1,2,0
1,1,2,0
31,16,47,15
10,0,10,10
5,0,5,5
10,9,19,1
1,1,2,0
1,1,2,0
3,2,5,1
1,0,1,1
1,0,1,1
3,0,3,3
39,3,42,36
2,2,4,0
2,2,4,0
10,2,12,8
13,4,17,9
43,15,58,28
6,12,18,-6
4,1,5,3
3,21,24,-18
1,1,2,0
106,13,119,93
0,72,72,-72
0,163,163,-163
3,1,4,2
0,21,21,-21
0,34,34,-34
3,0,3,3
3,21,24,-18
6,6,12,0
125,13,138,112
0,70,70,-70
0,180,180,-180
3,1,4,2
0,34,34,-34
0,453,453,-453
2,0,2,2
4,0,4,4
50,0,50,50
31,0,31,31
15,0,15,15
5,0,5,5
162,0,162,162
1,1,2,0
60,0,60,60
1,1,2,0
17,0,17,17
10,0,10,10
2,2,4,0
4,0,4,4
4,0,4,4
1,0,1,1
37,29,66,8
12,4,16,8
27,12,39,15
78,0,78,78
4,0,4,4
18,16,34,2
1,1,2,0
18,1,19,17
9,6,15,3
6,3,9,3
1,2,3,-1
2,2,4,0
37,2,39,35
1,1,2,0
12,12,24,0
19,8,27,11
1,1,2,0
2,1,3,1
1,1,2,0
18,2,20,16
92,5,97,87
4,21,25,-17
75,9,84,66
13,2,15,11
6,2,8,4
9,2,11,7
17,0,17,17
5,1,6,4
14,1,15,13
14,1,15,13
18,1,19,17
1,0,1,1
1,1,2,0
2,2,4,0
2,2,4,0
13,2,15,11
6,2,8,4
9,2,11,7
0,1,1,-1
22,5,27,17
5,0,5,5
2,2,4,0
1,0,1,1
12,4,16,8
27,12,39,15
10,15,25,-5
18,1,19,17
6,5,11,1
3,2,5,1
2,2,4,0
12,11,23,1
4,4,8,0
1,1,2,0
18,2,20,16
92,5,97,87
4,19,23,-15
60,11,71,49
17,0,17,17
14,1,15,13
14,1,15,13
4,0,4,4
1,1,2,0
4,0,4,4
4,0,4,4
37,29,66,8
78,0,78,78
4,0,4,4
8,1,9,7
1,1,2,0
5,3,8,2
5,3,8,2
1,2,3,-1
37,2,39,35
1,1,2,0
15,4,19,11
2,1,3,1
2,2,4,0
2,4,6,-2
5,1,6,4
11,3,14,8
52,0,52,52
21,0,21,21
21,0,21,21
2,2,4,0
3,2,5,1
0,24,24,-24
21,0,21,21
1,1,2,0
1,1,2,0
4,30,34,-26
5,7,12,-2
5,6,11,-1
2,2,4,0
40,39,79,1
5,5,10,0
5,1,6,4
81,45,126,36
2,2,4,0
7,3,10,4
1,1,2,0
5,8,13,-3
5,5,10,0
2,2,4,0
4,0,4,4
4,2,6,2
56,0,56,56
3,3,6,0
1,1,2,0
5,8,13,-3
9,7,16,2
1,0,1,1
5,0,5,5
3,15,18,-12
16,0,16,16
4,0,4,4
7,0,7,7
0,2,2,-2
6,3,9,3
4,4,8,0
4,4,8,0
6,6,12,0
2,4,6,-2
2,3,5,-1
13,13,26,0
0,2,2,-2
59,0,59,59
3,4,7,-1
20,20,40,0
1,1,2,0
13,13,26,0
1,0,1,1
1,1,2,0
3,3,6,0
3,4,7,-1
3,2,5,1
18,18,36,0
1,1,2,0
4,4,8,0
6,1,7,5
9,4,13,5
8,11,19,-3
10,9,19,1
1,1,2,0
1,1,2,0
1,0,1,1
88,20,108,68
4,2,6,2
223,0,223,223
0,121,121,-121
0,79,79,-79
1,1,2,0
0,1,1,-1
7,15,22,-8
3,3,6,0
32,24,56,8
16,14,30,2
5,6,11,-1
11,0,11,11
3,3,6,0
9,4,13,5
2,4,6,-2
7,9,16,-2
13,15,28,-2
9,11,20,-2
56,0,56,56
0,0,0,0
5,0,5,5
34,7,41,27
6,4,10,2
10,0,10,10
10,0,10,10
0,2,2,-2
1,1,2,0
186,0,186,186
2,3,5,-1
0,1,1,-1
147,78,225,69
81,12,93,69
33,3,36,30
4,0,4,4
1,4,5,-3
5,3,8,2
10,10,20,0
17,5,22,12
132,89,221,43
11,3,14,8
25,20,45,5
57,320,377,-263
10,28,38,-18
12,6,18,6
17,249,266,-232
6,76,82,-70
158,26,184,132
1,4,5,-3
1,1,2,0
287,200,487,87
42,171,213,-129
59,16,75,43
10,10,20,0
39,103,142,-64
63,107,170,-44
84,105,189,-21
3,3,6,0
128,49,177,79
42,89,131,-47
64,299,363,-235
8,1,9,7
56,44,100,12
37,52,89,-15
23,80,103,-57
8,69,77,-61
137,32,169,105
16,15,31,1
198,0,198,198
55,1,56,54
102,28,130,74
76,60,136,16
6,36,42,-30
68,2,70,66
27,1,28,26
26,167,193,-141
53,1,54,52
2,1,3,1
5,2,7,3
12,11,23,1
10,19,29,-9
18,18,36,0
45,10,55,35
81,37,118,44
23,13,36,10
20,18,38,2
1,14,15,-13
25,2,27,23
39,660,699,-621
398,0,398,398
526,0,526,526
22,0,22,22
174,0,174,174
2,2,4,0
11,41,52,-30
1,1,2,0
2,4,6,-2
2,2,4,0
4,3,7,1
12,19,31,-7
4,4,8,0
16,16,32,0
16,16,32,0
4,4,8,0
4,4,8,0
2,5,7,-3
31,75,106,-44
0,5,5,-5
45,0,45,45
29,0,29,29
3,0,3,3
2,3,5,-1
1,1,2,0
0,3,3,-3
5,7,12,-2
3,1,4,2
3,3,6,0
1,1,2,0
3,1,4,2
13,23,36,-10
0,9,9,-9
13,23,36,-10
0,9,9,-9
3,1,4,2
2,2,4,0
1,1,2,0
2,1,3,1
0,0,0,0
1,0,1,1
1,1,2,0
0,27,27,-27
2,15,17,-13
1,0,1,1
1,1,2,0
4,0,4,4
1,0,1,1
2,2,4,0
2,2,4,0
2,2,4,0
1,1,2,0
12,11,23,1
2,1,3,1
1,1,2,0
1,0,1,1
2,2,4,0
2,2,4,0
6,16,22,-10
13,9,22,4
7,3,10,4
2,2,4,0
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,1,1,-1
2,0,2,2
1,1,2,0
6,2,8,4
12,0,12,12
1,1,2,0
1,0,1,1
1,1,2,0
16,14,30,2
5,6,11,-1
9,2,11,7
9,2,11,7
4,4,8,0
12,6,18,6
9,9,18,0
4,6,10,-2
25,0,25,25
7,8,15,-1
31,14,45,17
4,0,4,4
1,1,2,0
1,2,3,-1
2,1,3,1
1,0,1,1
2,0,2,2
2,0,2,2
3,4,7,-1
1,1,2,0
4,3,7,1
8,3,11,5
1,1,2,0
1,1,2,0
88,20,108,68
4,0,4,4
8,11,19,-3
2,2,4,0
2,2,4,0
1,0,1,1
1,1,2,0
1,1,2,0
3,3,6,0
1,1,2,0
2,5,7,-3
26,11,37,15
1,2,3,-1
8,8,16,0
1,3,4,-2
3,3,6,0
35,57,92,-22
1,1,2,0
1,0,1,1
1,1,2,0
2,2,4,0
2,2,4,0
30,38,68,-8
1,7,8,-6
25,25,50,0
1,8,9,-7
4,0,4,4
1,1,2,0
1,1,2,0
5,2,7,3
3,3,6,0
1,1,2,0
7,7,14,0
23,23,46,0
7,7,14,0
5,5,10,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
1,1,2,0
0,1,1,-1
1,1,2,0
0,24,24,-24
6,11,17,-5
93,34,127,59
2,3,5,-1
11,2,13,9
53,0,53,53
22,0,22,22
22,0,22,22
4,1,5,3
1,1,2,0
1,1,2,0
1,1,2,0
8,31,39,-23
7,0,7,7
1,1,2,0
5,9,14,-4
2,1,3,1
2,2,4,0
2,8,10,-6
1,1,2,0
3,0,3,3
2,2,4,0
1,1,2,0
4,0,4,4
4,2,6,2
56,0,56,56
1,1,2,0
1,1,2,0
5,8,13,-3
9,7,16,2
1,0,1,1
1,3,4,-2
1,1,2,0
1,1,2,0
1,0,1,1
3,3,6,0
1,1,2,0
11,2,13,9
7,9,16,-2
10,9,19,1
7,7,14,0
1,1,2,0
8,3,11,5
29,21,50,8
1,0,1,1
3,3,6,0
9,4,13,5
56,0,56,56
0,0,0,0
5,0,5,5
35,7,42,28
6,4,10,2
10,0,10,10
10,0,10,10
189,0,189,189
74,51,125,23
37,3,40,34
3,2,5,1
1,1,2,0
16,4,20,12
1,0,1,1
1,1,2,0
8,7,15,1
1,1,2,0
40,19,59,21
3,3,6,0
16,0,16,16
1,1,2,0
1,1,2,0
133,32,165,101
56,236,292,-180
5,23,28,-18
3,35,38,-32
1,1,2,0
7,68,75,-61
93,83,176,10
55,1,56,54
25,29,54,-4
28,33,61,-5
6,36,42,-30
1,1,2,0
16,156,172,-140
42,1,43,41
2,1,3,1
12,11,23,1
9,8,17,1
1,1,2,0
1,14,15,-13
1,1,2,0
105,21,126,84
0,4,4,-4
11,12,23,-1
10,40,50,-30
1,1,2,0
16,16,32,0
16,16,32,0
4,4,8,0
4,4,8,0
0,5,5,-5
2,0,2,2
1,0,1,1
1,0,1,1
1,0,1,1
2,2,4,0
8,9,17,-1
1,1,2,0
1,1,2,0
1,1,2,0
5,8,13,-3
177,89,266,88
4,6,10,-2
4,4,8,0
4,4,8,0
1,1,2,0
0,5,5,-5
2,2,4,0
1,1,2,0
2,2,4,0
135,0,135,135
0,121,121,-121
0,78,78,-78
0,2,2,-2
12,8,20,4
1,4,5,-3
0,3,3,-3
0,6,6,-6
12,23,35,-11
0,9,9,-9
12,23,35,-11
0,9,9,-9
2,2,4,0
1,1,2,0
37,115,152,-78
22,84,106,-62
1,1,2,0
1,1,2,0
12,13,25,-1
2,1,3,1
0,6,6,-6
3,1,4,2
0,1,1,-1
6,8,14,-2
3,1,4,2
0,4,4,-4
45,0,45,45
3,1,4,2
6,1,7,5
32,81,113,-49
64,0,64,64
0,1,1,-1
12,1,13,11
11,0,11,11
2,1,3,1
0,6,6,-6
1,1,2,0
0,1,1,-1
3,1,4,2
0,6,6,-6
45,0,45,45
2,1,3,1
5,0,5,5
50,88,138,-38
79,0,79,79
0,1,1,-1
14,2,16,12
4,0,4,4
2,4,6,-2
5,6,11,-1
8,11,19,-3
3,3,6,0
4,0,4,4
0,6,6,-6
1,1,2,0
0,1,1,-1
0,13,13,-13
3,3,6,0
3,1,4,2
1,1,2,0
7,5,12,2
17,6,23,11
6,1,7,5
52,10,62,42
1,17,18,-16
34,0,34,34
53,12,65,41
2,2,4,0
10,8,18,2
1,1,2,0
1,1,2,0
2,2,4,0
2,3,5,-1
20,1,21,19
3,0,3,3
9,1,10,8
7,1,8,6
3,3,6,0
7,3,10,4
1,1,2,0
87,45,132,42
1,1,2,0
1,0,1,1
39,37,76,2
0,1,1,-1
31,0,31,31
28,1,29,27
0,1,1,-1
0,2,2,-2
5,2,7,3
1,7,8,-6
36,30,66,6
1,1,2,0
36,31,67,5
1,1,2,0
3,3,6,0
1,1,2,0
5,2,7,3
0,2,2,-2
10,0,10,10
0,0,0,0
1,0,1,1
3,1,4,2
1,1,2,0
1,1,2,0
50,3,53,47
3,3,6,0
22,13,35,9
8,0,8,8
0,179,179,-179
0,4,4,-4
0,194,194,-194
0,317,317,-317
7,1,8,6
67,16,83,51
3,1,4,2
1,1,2,0
74,20,94,54
1,1,2,0
4,2,6,2
9,15,24,-6
1,2,3,-1
3,0,3,3
1,1,2,0
1,0,1,1
1,3,4,-2
6,0,6,6
0,45,45,-45
1,2,3,-1
0,5,5,-5
77,52,129,25
0,79,79,-79
1,0,1,1
2,14,16,-12
2,0,2,2
1,1,2,0
4,0,4,4
93,12,105,81
2,4,6,-2
3,0,3,3
1,0,1,1
179,0,179,179
4,0,4,4
194,0,194,194
317,0,317,317
8,6,14,2
1,3,4,-2
0,45,45,-45
1,3,4,-2
1,6,7,-5
58,34,92,24
0,64,64,-64
1,0,1,1
1,12,13,-11
67,16,83,51
3,1,4,2
1,1,2,0
12,11,23,1
0,1,1,-1
4,4,8,0
1,1,2,0
27,1,28,26
1,0,1,1
3,3,6,0
2,2,4,0
8,4,12,4
7,7,14,0
1,1,2,0
5,0,5,5
2,2,4,0
1,0,1,1
3,0,3,3
1,1,2,0
1,1,2,0
3,0,3,3
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,0,1,1
0,4,4,-4
2,2,4,0
1,3,4,-2
3,0,3,3
4,1,5,3
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
4,0,4,4
0,1,1,-1
4,0,4,4
28,0,28,28
22,0,22,22
44,0,44,44
33,0,33,33
61,0,61,61
19,0,19,19
14,14,28,0
1,1,2,0
7,0,7,7
7,0,7,7
0,0,0,0
0,0,0,0
0,0,0,0
17,0,17,17
114,0,114,114
1,1,2,0
25,3,28,22
5,5,10,0
20,16,36,4
1,1,2,0
2,2,4,0
2,2,4,0
114,106,220,8
4,1,5,3
20,20,40,0
2,6,8,-4
1,1,2,0
9,9,18,0
3,3,6,0
94,79,173,15
2,1,3,1
94,79,173,15
2,1,3,1
1,0,1,1
1,1,2,0
0,179,179,-179
0,4,4,-4
0,194,194,-194
0,317,317,-317
0,317,317,-317
0,317,317,-317
0,317,317,-317
0,317,317,-317
0,144,144,-144
0,144,144,-144
0,144,144,-144
0,144,144,-144
0,220,220,-220
2,2,4,0
3,1,4,2
3,0,3,3
1,1,2,0
5,4,9,1
0,1,1,-1
0,1,1,-1
38,38,76,0
10,1,11,9
12,3,15,9
0,5,5,-5
0,34,34,-34
2,2,4,0
0,3,3,-3
4,0,4,4
6,7,13,-1
13,0,13,13
2,0,2,2
7,0,7,7
1,0,1,1
1,0,1,1
1,1,2,0
3,0,3,3
2,2,4,0
0,6,6,-6
0,1,1,-1
0,3,3,-3
1,1,2,0
22,17,39,5
15,10,25,5
1,1,2,0
27,2,29,25
257,27,284,230
21,13,34,8
130,0,130,130
119,184,303,-65
33,26,59,7
0,1,1,-1
48,43,91,5
0,5,5,-5
1,0,1,1
15,2,17,13
11,0,11,11
2,6,8,-4
224,0,224,224
8,8,16,0
0,1,1,-1
11,6,17,5
180,26,206,154
4,1,5,3
2,2,4,0
4,4,8,0
1,1,2,0
1,1,2,0
23,23,46,0
2,0,2,2
5,1,6,4
116,0,116,116
68,0,68,68
614,0,614,614
91,0,91,91
260,0,260,260
41,0,41,41
138,0,138,138
321,0,321,321
85,0,85,85
114,0,114,114
40,0,40,40
72,0,72,72
134,0,134,134
46,0,46,46
75,0,75,75
346,0,346,346
13,0,13,13
15,0,15,15
74,0,74,74
44,0,44,44
38,0,38,38
43,0,43,43
42,0,42,42
84,0,84,84
97,0,97,97
40,0,40,40
40,0,40,40
52,0,52,52
94,0,94,94
90,0,90,90
40,0,40,40
30,0,30,30
191,0,191,191
43,0,43,43
141,0,141,141
88,0,88,88
90,0,90,90
14,0,14,14
38,0,38,38
39,0,39,39
57,0,57,57
45,0,45,45
42,0,42,42
75,0,75,75
220,0,220,220
48,0,48,48
115,0,115,115
77,0,77,77
74,0,74,74
87,0,87,87
43,0,43,43
18,0,18,18
18,0,18,18
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8,0,8,8
16,0,16,16
5,0,5,5
6,0,6,6
7,0,7,7
6,0,6,6
6,0,6,6
6,0,6,6
9,0,9,9
6,0,6,6
5,0,5,5
6,0,6,6
7,0,7,7
6,0,6,6
11,0,11,11
17,0,17,17
80,0,80,80
6,0,6,6
6,0,6,6
26,0,26,26
12,0,12,12
39,0,39,39
66,0,66,66
10,0,10,10
6,0,6,6
29,0,29,29
54,0,54,54
14,0,14,14
66,0,66,66
33,0,33,33
28,0,28,28
69,0,69,69
34,0,34,34
57,0,57,57
62,0,62,62
9,0,9,9
5,0,5,5
54,0,54,54
38,0,38,38
54,0,54,54
17,0,17,17
2,3,5,-1
4,0,4,4
1,1,2,0
1,1,2,0
2,2,4,0
32,45,77,-13
0,12,12,-12
2,1,3,1
1,1,2,0
13,2,15,11
13,2,15,11
1,1,2,0
1,1,2,0
5,5,10,0
1,1,2,0
17,20,37,-3
1,1,2,0
1,1,2,0
71,22,93,49
1,9,10,-8
23,1,24,22
9,4,13,5
2,2,4,0
5,5,10,0
24,3,27,21
26,0,26,26
2,0,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
32,45,77,-13
1,2,3,-1
88,0,88,88
12,0,12,12
228,0,228,228
24,3,27,21
1,2,3,-1
67,0,67,67
12,0,12,12
228,0,228,228
1,1,2,0
2,0,2,2
2,0,2,2
352,0,352,352
124,0,124,124
10,0,10,10
2,0,2,2
7,0,7,7
5,1,6,4
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
2,2,4,0
0,0,0,0
2,0,2,2
1,0,1,1
1,0,1,1
2,2,4,0
2,2,4,0
202,31,233,171
25,0,25,25
4,4,8,0
3,0,3,3
7,0,7,7
1,0,1,1
45,5,50,40
44,8,52,36
1,0,1,1
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
0,0,0,0
1,1,2,0
1,1,2,0
1,1,2,0
0,1,1,-1
2,2,4,0
0,0,0,0
2,2,4,0
2,2,4,0
0,44,44,-44
1,1,2,0
1,1,2,0
0,0,0,0
0,0,0,0
0,0,0,0
17,11,28,6
34,0,34,34
2,2,4,0
0,0,0,0
7,1,8,6
6,0,6,6
0,0,0,0
0,0,0,0
1,1,2,0
1,4,5,-3
2,0,2,2
1,1,2,0
1,1,2,0
2,2,4,0
3,1,4,2
1,1,2,0
1,0,1,1
26,22,48,4
12,8,20,4
131,44,175,87
11,9,20,2
3,3,6,0
1,1,2,0
87,66,153,21
70,52,122,18
4,0,4,4
2,0,2,2
1,1,2,0
1,1,2,0
2,2,4,0
48,74,122,-26
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
107,2,109,105
25,21,46,4
3,0,3,3
1,1,2,0
1,1,2,0
4,1,5,3
7,6,13,1
0,1,1,-1
1,0,1,1
2,0,2,2
2,2,4,0
2,2,4,0
172,0,172,172
3,1,4,2
28,20,48,8
3,3,6,0
1,22,23,-21
4,5,9,-1
1,0,1,1
15,0,15,15
21,0,21,21
2,0,2,2
3,0,3,3
17,0,17,17
1,1,2,0
2,1,3,1
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
2,2,4,0
7,7,14,0
22,1,23,21
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,2,3,-1
4,4,8,0
1,1,2,0
1,1,2,0
1,2,3,-1
4,4,8,0
5,1,6,4
5,1,6,4
0,0,0,0
1,1,2,0
1,1,2,0
3,6,9,-3
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
2,2,4,0
7,2,9,5
8,2,10,6
3,1,4,2
0,2,2,-2
1,1,2,0
10,0,10,10
0,0,0,0
48,8,56,40
68,9,77,59
48,51,99,-3
1,1,2,0
1,0,1,1
0,0,0,0
2,2,4,0
30,27,57,3
1,1,2,0
1,1,2,0
2,2,4,0
0,76,76,-76
0,94,94,-94
9,1,10,8
9,1,10,8
1,4,5,-3
310,0,310,310
7,0,7,7
1,4,5,-3
686,0,686,686
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,2,3,-1
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
4,4,8,0
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,3,4,-2
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
0,14,14,-14
1,8,9,-7
4,4,8,0
4,4,8,0
4,3,7,1
1,1,2,0
1,1,2,0
1,0,1,1
4,1,5,3
1,1,2,0
2,0,2,2
1,0,1,1
1,1,2,0
1,1,2,0
7,1,8,6
3,3,6,0
0,0,0,0
0,0,0,0
2,2,4,0
8,8,16,0
1,1,2,0
14,14,28,0
14,14,28,0
16,34,50,-18
118,118,236,0
118,113,231,5
5,1,6,4
5,3,8,2
11,0,11,11
27,13,40,14
0,3,3,-3
29,3,32,26
19,20,39,-1
4,2,6,2
0,2,2,-2
2,4,6,-2
1,1,2,0
3,3,6,0
2,5,7,-3
1,1,2,0
2,2,4,0
1,1,2,0
